input,block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,timing
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,16,2,8,0,0.05960800126194954
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,0,2,4,0,0.06497599929571152
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,32,128,2,16,2,4,0,0.05840599909424782
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,0,2,4,0,0.05676399916410446
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,16,2,4,0,0.05091499909758568
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,0,2,8,0,0.05339900031685829
[('cuda' 'torch.bfloat16' 7456 2048 2048 1 0) ('cuda' 'torch.bfloat16' 2048 512 1 2048 0)],128,64,128,2,16,2,8,0,0.053238000720739365
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,16,32,2,0,2,2,0,0.1742980033159256
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,16,32,2,16,2,2,0,0.14305199682712555
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,128,32,2,0,2,4,0,0.14457400143146515
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,128,32,2,16,2,4,0,0.0784360021352768
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,32,64,2,0,2,8,0,0.21688100695610046
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],32,32,64,2,16,2,8,0,0.08236300200223923
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,32,2,0,2,8,0,0.1411689966917038
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,32,2,16,2,8,0,0.08809100091457367
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,128,32,2,0,2,4,0,0.10147099941968918
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,128,32,2,16,2,4,0,0.07238700240850449
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,16,64,2,0,2,4,0,0.11176600307226181
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,16,64,2,16,2,4,0,0.10439500212669373
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,64,2,0,2,4,0,0.07679300010204315
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,64,2,16,2,4,0,0.06701900064945221
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,64,64,2,0,2,8,0,0.08280300348997116
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,64,64,2,16,2,8,0,0.05424100160598755
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,128,64,2,0,2,4,0,0.07238700240850449
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,128,64,2,16,2,4,0,0.059007998555898666
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,128,2,0,2,4,0,0.0660180002450943
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,128,2,16,2,4,0,0.05856600031256676
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,128,2,0,2,8,0,0.06782100349664688
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,32,128,2,16,2,8,0,0.05896700173616409
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,64,128,2,0,2,4,0,0.0642549991607666
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,64,128,2,16,2,4,0,0.053679000586271286
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,128,128,2,0,2,4,0,0.07623299956321716
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],64,128,128,2,16,2,4,0,0.06557700037956238
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,64,2,0,2,4,0,0.0715859979391098
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,64,2,16,2,4,0,0.057043999433517456
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,64,2,0,2,8,0,0.07455000281333923
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,64,2,16,2,8,0,0.05884699895977974
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,128,2,0,2,8,0,0.06649799644947052
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,128,2,16,2,8,0,0.05712499842047691
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,128,2,0,2,4,0,0.07218699902296066
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,32,128,2,16,2,4,0,0.056283000856637955
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,64,128,2,0,2,4,0,0.06810099631547928
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,64,128,2,16,2,4,0,0.04759100079536438
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,64,128,2,0,2,8,0,0.06417500227689743
[('cuda' 'torch.bfloat16' 7456 512 512 1 0) ('cuda' 'torch.bfloat16' 512 2048 1 512 0)],128,64,128,2,16,2,8,0,0.051917001605033875
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,16,32,2,0,2,2,0,0.15446899831295013
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,16,32,2,16,2,2,0,0.14425399899482727
