kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},12.961,9.321,1.3905,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=2048 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",9.121,6.72,1.3573,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=16 YBLOCK=256 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},9.08,6.96,1.3046,XBLOCK=512 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",8.64,6.72,1.2857,XBLOCK=128 YBLOCK=16 num_warps=4,XBLOCK=4 YBLOCK=64 num_warps=1,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},11.761,9.2,1.2784,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},11.601,9.08,1.2776,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=2,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",8.2,6.44,1.2733,XBLOCK=1024 YBLOCK=1 num_warps=4,XBLOCK=32 YBLOCK=128 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",8.08,6.6,1.2242,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=128 YBLOCK=8 num_warps=8,yes
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},10.72,8.8,1.2182,XBLOCK=4096 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",22.801,18.72,1.218,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},12.12,10.08,1.2024,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=2,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",7.68,6.48,1.1852,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=4 YBLOCK=64 num_warps=1,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",8.321,7.08,1.1753,XBLOCK=16 YBLOCK=256 num_warps=4,XBLOCK=16 YBLOCK=64 num_warps=2,yes
triton_red_fused_add_div_max_mul_0,"{'x': 8, 'r0_': 8192}",7.4,6.32,1.1709,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=1 R0_BLOCK=2048 num_warps=8,no
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",8.001,6.84,1.1697,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",7.68,6.64,1.1566,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=64 YBLOCK=32 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",9.08,7.921,1.1463,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",11.201,9.84,1.1383,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=2 R0_BLOCK=1024 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",7.6,6.68,1.1377,XBLOCK=32 YBLOCK=32 num_warps=4,XBLOCK=32 YBLOCK=32 num_warps=1,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",15.121,13.32,1.1352,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=1 R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 131072},7.44,6.56,1.1341,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
