kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",22.201,XBLOCK=8 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",23.361,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",22.64,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",21.961,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",21.68,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",59.121,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",21.921,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",38.121,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",22.601,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",23.8,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",22.281,XBLOCK=8 YBLOCK=64 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",23.001,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",22.881,XBLOCK=128 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",21.561,XBLOCK=2 YBLOCK=128 num_warps=1
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",30.081,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",60.322,XBLOCK=128 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",21.681,XBLOCK=256 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",44.601,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",241.726,XBLOCK=128 YBLOCK=32 num_warps=4
