kernel_name,size_hints,fastest_us,config
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",18.521,XBLOCK=1 num_warps=1
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",20.0,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",18.241,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",18.32,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.241,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.52,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.04,XBLOCK=1 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",18.521,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.401,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.56,XBLOCK=1 waves_per_eu=2 num_warps=1
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.361,XBLOCK=1 num_warps=1
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",18.441,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.44,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.321,XBLOCK=1 num_warps=1
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.761,XBLOCK=1 num_warps=4
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",18.52,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",19.76,XBLOCK=1 num_warps=1
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",18.841,XBLOCK=1 num_warps=4
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.76,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.761,XBLOCK=1 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",18.32,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},23.16,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},25.04,XBLOCK=512 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},25.16,XBLOCK=256 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},21.961,XBLOCK=512 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},25.721,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.04,XBLOCK=2048 num_warps=1
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},20.041,XBLOCK=256 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},28.521,XBLOCK=2048 num_warps=2
