kernel_name,size_hints,fastest_us,config
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},9.84,XBLOCK=4096 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.68,XBLOCK=128 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},14.16,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},8.2,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},6.8,XBLOCK=512 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},6.6,XBLOCK=256 num_warps=1
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},22.08,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 1048576},6.881,XBLOCK=1024 num_warps=4
triton_poi_fused_add_0,{'x': 131072},6.56,XBLOCK=1024 num_warps=4
triton_poi_fused_add_0,{'x': 16384},6.321,XBLOCK=256 num_warps=1
triton_poi_fused_add_0,{'x': 16777216},29.801,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_0,{'x': 2097152},7.0,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 262144},6.521,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_0,{'x': 32768},6.401,XBLOCK=4096 num_warps=4
triton_poi_fused_add_0,{'x': 4096},6.32,XBLOCK=4096 num_warps=4
triton_poi_fused_add_0,{'x': 4194304},9.96,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_0,{'x': 512},6.321,XBLOCK=256 num_warps=1
triton_poi_fused_add_0,{'x': 65536},6.44,XBLOCK=512 num_warps=2
triton_poi_fused_add_0,{'x': 67108864},137.124,XBLOCK=512 num_warps=4
triton_poi_fused_add_0,{'x': 8388608},14.681,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},12.12,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},9.28,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},11.761,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},14.36,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},10.44,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},10.72,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},10.281,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},41.521,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},11.601,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},41.681,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},14.2,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},11.88,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},11.04,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},9.08,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},23.32,XBLOCK=4096 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},12.961,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},6.84,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 131072},7.44,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 16384},6.8,XBLOCK=128 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},57.361,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},7.88,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 262144},6.28,XBLOCK=1024 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 32768},6.881,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 4096},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},15.44,XBLOCK=1024 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 512},6.64,XBLOCK=512 waves_per_eu=2 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 65536},6.64,XBLOCK=4096 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},224.366,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},22.84,XBLOCK=1024 num_warps=4
