kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",55.321,18.24,3.0329,XBLOCK=1 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",52.961,20.001,2.6479,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",52.282,25.96,2.0139,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",34.521,20.76,1.6629,XBLOCK=8 R0_BLOCK=512 num_warps=4,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",40.201,30.720999999999997,1.3086,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},25.4,19.560000000000002,1.2986,XBLOCK=512 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.52,20.840999999999998,1.2725,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},26.24,20.961000000000002,1.2518,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",27.88,23.281,1.1975,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.561,18.96,1.1899,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",23.961,20.28,1.1815,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",22.641,19.52,1.1599,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",37.121,33.161,1.1194,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",243.407,217.64600000000002,1.1184,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",33.761,30.361,1.112,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=2048 num_warps=8,yes
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.601,18.601,1.1075,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=2048 waves_per_eu=2 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",22.481,20.441000000000003,1.0998,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",98.363,89.443,1.0997,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.4,18.56,1.0991,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},23.681,21.919999999999998,1.0803,XBLOCK=256 num_warps=4,XBLOCK=256 num_warps=4,no
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},29.601,27.52,1.0756,XBLOCK=1024 num_warps=4,XBLOCK=2048 num_warps=8,yes
