kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",18.561,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",18.599999999999998,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",18.841,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",18.56,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.361,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.161,XBLOCK=4 R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",18.441,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.68,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.04,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.56,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",18.561,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.360000000000003,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.521,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",17.921,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",18.72,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",18.360000000000003,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.72,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.68,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",18.56,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},24.160999999999998,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},23.521,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},22.841,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},22.161,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},21.520999999999997,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},19.841,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},18.521,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},27.681,XBLOCK=2048 num_warps=4,0
