kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.56,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.720000000000001,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.56,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.64,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",8.56,XBLOCK=4 R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",7.0,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.04,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.92,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.0809999999999995,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.56,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",7.001,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.92,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.760000000000001,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",7.6,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",8.201,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",6.720000000000001,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",7.281000000000001,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",8.76,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",6.721,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",7.96,R0_BLOCK=dyn num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},14.08,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},15.441,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},9.84,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},11.76,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},11.84,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},6.84,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.84,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},14.120000000000001,XBLOCK=2048 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},11.84,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},6.84,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},6.84,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},25.961000000000002,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_0,{'x': 1048576},6.841,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 131072},6.56,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 16384},6.56,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_0,{'x': 16777216},34.92,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 2097152},7.0,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 262144},6.680000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 32768},6.56,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 4096},6.521,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_0,{'x': 4194304},12.081,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 512},6.760000000000001,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_0,{'x': 65536},6.96,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 67108864},147.684,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 8388608},19.2,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},12.200000000000001,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},14.32,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},14.239999999999998,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},14.16,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},13.0,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},11.641,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},14.441,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},42.241,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},13.121,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},41.681000000000004,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},14.08,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},11.88,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},11.24,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},13.440000000000001,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},24.561,XBLOCK=2048 num_warps=4,0
