kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",55.321,18.601,2.9741,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=1,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",52.961,20.881,2.5363,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",34.521,20.681,1.6692,XBLOCK=8 R0_BLOCK=512 num_warps=4,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",40.201,30.761,1.3069,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},26.24,21.24,1.2354,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.52,21.961000000000002,1.2076,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.561,19.401000000000003,1.1629,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",37.121,33.041000000000004,1.1235,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",27.88,25.160999999999998,1.1081,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",33.761,30.64,1.1019,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",22.481,20.521,1.0955,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.601,18.881,1.0911,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",243.407,225.687,1.0785,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},22.521,21.24,1.0603,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.4,19.281,1.058,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",25.041,23.721,1.0556,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},22.96,21.96,1.0455,XBLOCK=512 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",22.36,21.441000000000003,1.0429,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",22.641,21.72,1.0424,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",19.241,18.521,1.0389,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",98.363,95.003,1.0354,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},22.881,22.12,1.0344,XBLOCK=4096 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",20.521,19.841,1.0343,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 4096},18.64,18.04,1.0333,XBLOCK=128 num_warps=2,XBLOCK=128 num_warps=2,no
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",19.36,18.801,1.0297,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_red_fused_add_div_max_mul_0,"{'x': 4, 'r0_': 8192}",19.36,18.801,1.0297,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",23.961,23.321,1.0274,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 2097152},19.441,19.081,1.0189,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",19.041,18.759999999999998,1.015,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_tanh_0,{'x': 4096},18.961,18.68,1.015,XBLOCK=128 num_warps=2,XBLOCK=128 num_warps=2,no
triton_red_fused_add_div_mean_mul_var_4,"{'x': 8, 'r0_': 8192}",20.441,20.160999999999998,1.0139,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.521,18.28,1.0132,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.721,18.48,1.013,XBLOCK=1 num_warps=8,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_gelu_0,{'x': 4096},18.961,18.721,1.0128,XBLOCK=4096 waves_per_eu=2 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_poi_fused_gelu_0,{'x': 2097152},19.24,19.001,1.0126,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},26.0,25.680999999999997,1.0124,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 512},18.68,18.48,1.0108,XBLOCK=512 waves_per_eu=1 num_warps=8,XBLOCK=128 num_warps=2,yes
triton_red_fused_var_5,"{'x': 4, 'r0_': 8192}",18.96,18.759999999999998,1.0107,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 16384},19.08,18.880000000000003,1.0106,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_tanh_0,{'x': 131072},19.2,19.0,1.0105,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 2097152},19.6,19.400000000000002,1.0103,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_poi_fused_tanh_0,{'x': 65536},18.841,18.68,1.0086,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_0,{'x': 131072},19.08,18.919999999999998,1.0085,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 32768},18.88,18.72,1.0085,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 32768},19.0,18.841,1.0084,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_poi_fused_gelu_0,{'x': 512},18.801,18.68,1.0065,XBLOCK=512 waves_per_eu=2 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.801,18.681,1.0064,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_silu_0,{'x': 262144},18.84,18.72,1.0064,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.641,18.561,1.0043,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_relu_sigmoid_0,{'x': 512},18.961,18.880000000000003,1.0043,XBLOCK=128 num_warps=2,XBLOCK=128 num_warps=2,no
triton_poi_fused_leaky_relu_0,{'x': 65536},19.0,18.919999999999998,1.0042,XBLOCK=256 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 32768},19.12,19.041,1.0041,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",18.681,18.641000000000002,1.0021,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_add_gelu_mul_0,{'x': 4096},18.88,18.84,1.0021,XBLOCK=4096 waves_per_eu=2 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_poi_fused_gelu_0,{'x': 65536},19.0,18.961,1.0021,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_poi_fused_leaky_relu_0,{'x': 2097152},19.401,19.361,1.0021,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 65536},18.801,18.761,1.0021,XBLOCK=512 num_warps=2,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 16384},19.08,19.041,1.002,XBLOCK=128 num_warps=2,XBLOCK=128 num_warps=2,no
triton_poi_fused_gelu_0,{'x': 16384},18.881,18.881,1.0,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_poi_fused_silu_0,{'x': 512},18.68,18.681,0.9999,XBLOCK=512 waves_per_eu=2 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},36.241,36.281,0.9989,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=4,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.84,18.880000000000003,0.9979,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.641,18.68,0.9979,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_add_gelu_mul_0,{'x': 262144},19.001,19.041,0.9979,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 1048576},19.12,19.161,0.9979,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=4,yes
triton_poi_fused_mul_0,{'x': 32768},18.681,18.72,0.9979,XBLOCK=256 num_warps=1,XBLOCK=512 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 16384},18.921,18.96,0.9979,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=128 num_warps=2,yes
triton_poi_fused_silu_0,{'x': 2097152},19.281,19.321,0.9979,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_0,{'x': 262144},18.84,18.881,0.9978,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 4096},18.84,18.881,0.9978,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},23.201,23.279999999999998,0.9966,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 2097152},19.321,19.400000000000002,0.9959,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=4,yes
triton_poi_fused_mul_0,{'x': 65536},18.961,19.041,0.9958,XBLOCK=256 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 4096},18.84,18.919999999999998,0.9958,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=128 num_warps=2,yes
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.56,18.641000000000002,0.9957,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_gelu_0,{'x': 131072},18.88,18.961,0.9957,XBLOCK=1024 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_leaky_relu_0,{'x': 4096},18.601,18.681,0.9957,XBLOCK=4096 waves_per_eu=2 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.44,18.521,0.9956,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_leaky_relu_0,{'x': 131072},19.001,19.12,0.9938,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 1048576},19.201,19.32,0.9938,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=4,yes
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 8, 'r0_': 8192}",19.121,19.24,0.9938,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 131072},19.001,19.121,0.9937,XBLOCK=512 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_poi_fused_gelu_0,{'x': 262144},18.881,19.0,0.9937,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 262144},18.881,19.0,0.9937,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 131072},18.961,19.081,0.9937,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 16384},18.721,18.841,0.9936,XBLOCK=4096 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",20.681,20.84,0.9924,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=64 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 1048576},19.121,19.279999999999998,0.9918,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},19.08,19.24,0.9917,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},240.126,242.127,0.9917,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",18.801,18.961,0.9916,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
