kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.601,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.4799999999999995,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.6,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.32,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",7.28,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",6.96,XBLOCK=4 R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.56,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.680000000000001,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.641,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",6.720000000000001,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.760000000000001,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",6.56,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",6.4799999999999995,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",6.680000000000001,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",6.84,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",6.921,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",6.760000000000001,R0_BLOCK=dyn num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},11.520000000000001,XBLOCK=2048 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},13.32,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},14.08,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},8.401,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},7.36,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},6.6,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.720000000000001,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},13.921,XBLOCK=2048 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},7.36,XBLOCK=512 num_warps=8,0
