kernel_name,size_hints,fastest_us,config
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",18.72,XBLOCK=1 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",18.6,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",18.321,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",18.601,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.521,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",19.44,XBLOCK=1 num_warps=2
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",19.081,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",18.64,XBLOCK=1 num_warps=1
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.24,XBLOCK=1 waves_per_eu=2 num_warps=4
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",18.52,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",18.2,XBLOCK=1 waves_per_eu=2 num_warps=1
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",18.601,XBLOCK=1 num_warps=4
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.241,XBLOCK=1 num_warps=2
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",18.401,XBLOCK=1 num_warps=2
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.561,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",18.201,XBLOCK=1 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",18.24,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",18.32,XBLOCK=1 waves_per_eu=2 num_warps=2
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",18.761,XBLOCK=1 num_warps=2
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.761,XBLOCK=1 waves_per_eu=2 num_warps=1
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",18.4,XBLOCK=1 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},22.761,XBLOCK=1024 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},22.081,XBLOCK=2048 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},21.561,XBLOCK=64 num_warps=1
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},21.36,XBLOCK=256 num_warps=4
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},22.721,XBLOCK=1024 num_warps=8
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},21.36,XBLOCK=1024 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},18.601,XBLOCK=512 num_warps=2
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},27.881,XBLOCK=2048 num_warps=2
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},20.121,XBLOCK=256 num_warps=4
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},18.841,XBLOCK=512 num_warps=8
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},18.641,XBLOCK=64 num_warps=1
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},35.161,XBLOCK=128 num_warps=2
triton_poi_fused_add_0,{'x': 1048576},18.401,XBLOCK=256 num_warps=1
triton_poi_fused_add_0,{'x': 131072},18.321,XBLOCK=2048 num_warps=8
triton_poi_fused_add_0,{'x': 16384},18.441,XBLOCK=256 num_warps=2
triton_poi_fused_add_0,{'x': 16777216},42.121,XBLOCK=2048 num_warps=8
triton_poi_fused_add_0,{'x': 2097152},19.16,XBLOCK=128 num_warps=2
triton_poi_fused_add_0,{'x': 262144},18.4,XBLOCK=4096 num_warps=8
triton_poi_fused_add_0,{'x': 32768},18.321,XBLOCK=64 num_warps=1
triton_poi_fused_add_0,{'x': 4096},18.281,XBLOCK=1024 num_warps=8
triton_poi_fused_add_0,{'x': 4194304},22.121,XBLOCK=4096 num_warps=2
triton_poi_fused_add_0,{'x': 512},18.48,XBLOCK=256 num_warps=1
triton_poi_fused_add_0,{'x': 65536},18.52,XBLOCK=512 num_warps=2
triton_poi_fused_add_0,{'x': 67108864},145.524,XBLOCK=128 num_warps=1
triton_poi_fused_add_0,{'x': 8388608},27.161,XBLOCK=2048 num_warps=2
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},23.241,XBLOCK=256 num_warps=1
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},21.521,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},21.001,XBLOCK=512 num_warps=1
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},27.08,XBLOCK=2048 num_warps=2
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},23.2,XBLOCK=256 num_warps=1
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},21.88,XBLOCK=512 num_warps=2
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},23.121,XBLOCK=512 num_warps=1
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},55.362,XBLOCK=512 num_warps=1
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},21.44,XBLOCK=1024 num_warps=2
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},55.081,XBLOCK=1024 num_warps=2
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},27.401,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},24.761,XBLOCK=2048 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},23.68,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},19.56,XBLOCK=256 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},36.321,XBLOCK=256 num_warps=2
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},21.76,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},19.001,XBLOCK=512 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 131072},18.64,XBLOCK=256 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 16384},18.721,XBLOCK=2048 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},69.682,XBLOCK=256 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},19.521,XBLOCK=128 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 262144},18.64,XBLOCK=512 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 32768},18.561,XBLOCK=256 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 4096},18.28,XBLOCK=1024 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},27.761,XBLOCK=128 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 512},18.681,XBLOCK=128 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 65536},18.681,XBLOCK=128 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},238.646,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},34.521,XBLOCK=128 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",19.32,XBLOCK=64 YBLOCK=32 num_warps=1
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",20.521,XBLOCK=128 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",19.161,XBLOCK=128 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",18.96,XBLOCK=128 YBLOCK=16 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",19.32,XBLOCK=64 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",55.241,XBLOCK=64 YBLOCK=64 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",18.92,XBLOCK=256 YBLOCK=2 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",35.521,XBLOCK=64 YBLOCK=32 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",19.0,XBLOCK=32 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",19.6,XBLOCK=64 YBLOCK=32 num_warps=8
