kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",6.681,6.641,1.006,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 262144},6.64,6.601,1.0059,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 4194304},8.481,8.441,1.0047,XBLOCK=1024 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 65536},6.641,6.64,1.0002,XBLOCK=256 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",22.28,22.281,1.0,XBLOCK=32 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 512},6.52,6.52,1.0,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_relu_sigmoid_0,{'x': 16384},6.56,6.56,1.0,XBLOCK=128 num_warps=2,XBLOCK=512 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 32, 'r0_': 8192}",6.56,6.56,1.0,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 128, 'r0_': 8192}",16.441,16.480999999999998,0.9976,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",78.203,78.56200000000001,0.9954,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},41.681,41.881,0.9952,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 4194304},7.84,7.88,0.9949,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_0,{'x': 1048576},6.881,6.92,0.9944,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.68,6.720000000000001,0.994,XBLOCK=128 num_warps=2,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 262144},6.68,6.720000000000001,0.994,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 16384},6.64,6.680000000000001,0.994,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 16384},6.64,6.680000000000001,0.994,XBLOCK=256 num_warps=1,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},12.961,13.04,0.9939,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.44,6.4799999999999995,0.9938,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_relu_sigmoid_0,{'x': 32768},6.44,6.4799999999999995,0.9938,XBLOCK=256 num_warps=1,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},23.32,23.480999999999998,0.9931,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},41.521,41.921,0.9905,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},11.04,11.161000000000001,0.9892,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 1048576},6.88,6.96,0.9885,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 1048576},6.76,6.84,0.9883,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 16384},6.72,6.801,0.9881,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 32768},6.6,6.680000000000001,0.988,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 131072},6.56,6.64,0.988,XBLOCK=4096 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 4096},6.56,6.64,0.988,XBLOCK=4096 waves_per_eu=2 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 65536},6.6,6.680000000000001,0.988,XBLOCK=512 num_warps=2,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 4096},6.52,6.6,0.9879,XBLOCK=128 num_warps=2,XBLOCK=512 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 65536},6.52,6.6,0.9879,XBLOCK=512 num_warps=2,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 512},6.48,6.56,0.9878,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_relu_0,{'x': 67108864},136.884,138.764,0.9865,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",43.641,44.322,0.9846,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 262144},6.68,6.8,0.9824,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 16384},6.561,6.680000000000001,0.9822,XBLOCK=128 num_warps=2,XBLOCK=512 num_warps=8,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},6.6,6.720000000000001,0.9821,XBLOCK=256 num_warps=1,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 65536},6.6,6.720000000000001,0.9821,XBLOCK=4096 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 4096},6.521,6.64,0.9821,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 1048576},6.52,6.64,0.9819,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 512},6.52,6.64,0.9819,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_relu_0,{'x': 16777216},30.241,30.801,0.9818,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 512},6.48,6.6,0.9818,XBLOCK=512 waves_per_eu=2 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_poi_fused_tanh_0,{'x': 32768},6.48,6.6,0.9818,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 512},6.44,6.56,0.9817,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},224.366,228.726,0.9809,XBLOCK=512 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 67108864},91.163,93.003,0.9802,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 2097152},7.08,7.24,0.9779,XBLOCK=512 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_leaky_relu_0,{'x': 131072},6.64,6.8,0.9765,XBLOCK=512 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_0,{'x': 131072},6.56,6.721,0.976,XBLOCK=1024 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_add_relu_0,{'x': 32768},6.52,6.680000000000001,0.976,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 131072},6.52,6.680000000000001,0.976,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 32768},6.52,6.680000000000001,0.976,XBLOCK=256 num_warps=1,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 16777216},22.76,23.321,0.9759,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 512},6.441,6.601,0.9758,XBLOCK=512 waves_per_eu=2 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_0,{'x': 67108864},137.124,140.564,0.9755,XBLOCK=512 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",17.08,17.52,0.9749,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",41.041,42.201,0.9725,XBLOCK=32 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",11.001,11.32,0.9718,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_mean_mul_var_4,"{'x': 8, 'r0_': 8192}",8.04,8.28,0.971,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 67108864},136.244,140.36399999999998,0.9706,XBLOCK=512 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 16777216},30.001,30.921,0.9702,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 4096},6.48,6.680000000000001,0.9701,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.48,6.681,0.9699,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",26.08,26.919999999999998,0.9688,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 128, 'r0_': 8192}",18.24,18.84,0.9682,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 67108864},89.522,92.482,0.968,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",8.001,8.28,0.9663,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 1048576},6.76,7.0,0.9657,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",7.88,8.16,0.9657,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 4096},6.52,6.760000000000001,0.9645,XBLOCK=256 num_warps=1,XBLOCK=512 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 16777216},21.88,22.721,0.963,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 32, 'r0_': 8192}",10.36,10.76,0.9628,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_silu_0,{'x': 67108864},89.442,92.923,0.9625,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 67108864},91.202,94.803,0.962,XBLOCK=1024 num_warps=4,XBLOCK=4096 num_warps=8,yes
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 128, 'r0_': 8192}",7.04,7.321000000000001,0.9616,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
