kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},25.201,22.241,1.1331,XBLOCK=128 num_warps=2,XBLOCK=2048 num_warps=4,yes
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",20.481,18.161,1.1277,XBLOCK=1 num_warps=2,XBLOCK=1 num_warps=4,yes
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},25.881,23.121,1.1194,XBLOCK=2048 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},25.921,23.241,1.1153,XBLOCK=512 num_warps=8,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},32.16,28.921,1.112,XBLOCK=2048 num_warps=8,XBLOCK=2048 num_warps=8,no
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",20.521,18.48,1.1104,XBLOCK=1 waves_per_eu=2 num_warps=4,XBLOCK=1 waves_per_eu=2 num_warps=4,no
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",23.761,21.481,1.1061,XBLOCK=32 YBLOCK=128 num_warps=8,XBLOCK=64 YBLOCK=32 num_warps=8,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",20.801,18.841,1.104,XBLOCK=1 waves_per_eu=2 num_warps=2,XBLOCK=1 waves_per_eu=2 num_warps=2,no
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",21.441,19.44,1.1029,XBLOCK=1 R0_BLOCK=8192 num_warps=8,XBLOCK=1 R0_BLOCK=8192 num_warps=8,no
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",20.16,18.28,1.1028,XBLOCK=1 waves_per_eu=2 num_warps=2,XBLOCK=1 waves_per_eu=2 num_warps=4,yes
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},26.68,24.2,1.1025,XBLOCK=256 num_warps=2,XBLOCK=2048 num_warps=8,yes
