kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.64,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.08,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.64,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.680000000000001,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",7.4799999999999995,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",6.96,XBLOCK=4 R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.6,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.56,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.760000000000001,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",6.680000000000001,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.32,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.720000000000001,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",6.680000000000001,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",6.641,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",6.6,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn num_warps=2,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",6.601,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",6.680000000000001,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",6.64,R0_BLOCK=dyn num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},12.4,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},9.440000000000001,XBLOCK=4096 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},11.681000000000001,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},12.28,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},7.6,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},7.0,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.28,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},14.161,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},7.6,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},7.0,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},6.28,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},21.041,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_0,{'x': 1048576},6.92,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_0,{'x': 131072},6.6,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_0,{'x': 16384},6.4799999999999995,XBLOCK=1024 num_warps=2,0
triton_poi_fused_add_0,{'x': 16777216},30.561,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_0,{'x': 2097152},7.52,XBLOCK=4096 num_warps=8,0
triton_poi_fused_add_0,{'x': 262144},6.681,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_0,{'x': 32768},6.760000000000001,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_0,{'x': 4096},6.4799999999999995,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 4194304},10.52,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_0,{'x': 512},6.521,XBLOCK=256 num_warps=2,0
triton_poi_fused_add_0,{'x': 65536},6.441,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 67108864},136.844,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_0,{'x': 8388608},16.8,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},11.12,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},12.44,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},10.24,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},14.32,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},11.08,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},12.84,XBLOCK=256 num_warps=2,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},10.16,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},41.800999999999995,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},11.520000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},41.761,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},14.64,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},12.16,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},14.4,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},7.2,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},22.881,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},11.520000000000001,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},7.24,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 131072},6.8,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 16384},6.841,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},70.802,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},8.52,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 262144},7.0,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 32768},6.760000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 4096},6.56,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},17.48,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 512},6.720000000000001,XBLOCK=256 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 65536},6.84,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},221.767,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},26.801,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",9.48,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",9.081000000000001,XBLOCK=32 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",9.921,XBLOCK=64 YBLOCK=128 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",9.32,XBLOCK=32 YBLOCK=8 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",9.36,XBLOCK=128 YBLOCK=128 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",42.122,XBLOCK=128 YBLOCK=128 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",9.520000000000001,XBLOCK=64 YBLOCK=16 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",21.961000000000002,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",9.96,XBLOCK=16 YBLOCK=16 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",9.0,XBLOCK=32 YBLOCK=16 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",9.12,XBLOCK=16 YBLOCK=16 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",8.4,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",9.16,XBLOCK=16 YBLOCK=16 num_warps=4,0
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",6.88,XBLOCK=64 YBLOCK=8 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",13.2,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",44.641,XBLOCK=128 YBLOCK=128 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",6.88,XBLOCK=128 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",26.121,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",199.44600000000003,XBLOCK=128 YBLOCK=128 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 1048576},6.64,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 131072},6.4799999999999995,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 16384},6.760000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 16777216},30.361,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 2097152},7.4799999999999995,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 262144},6.680000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 32768},6.720000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 4096},6.760999999999999,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 4194304},10.28,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 512},6.56,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 65536},6.641,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 67108864},137.44400000000002,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 8388608},16.881,XBLOCK=2048 num_warps=8,0
triton_poi_fused_gelu_0,{'x': 1048576},6.96,XBLOCK=1024 num_warps=8,0
triton_poi_fused_gelu_0,{'x': 131072},6.92,XBLOCK=256 num_warps=4,0
