kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},32.16,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},26.921,XBLOCK=512 num_warps=8
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},24.881,XBLOCK=512 num_warps=4
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},26.68,XBLOCK=256 num_warps=2
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},57.082,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},25.881,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},58.042,XBLOCK=4096 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},31.521,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},26.48,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},27.36,XBLOCK=4096 num_warps=8
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},21.04,XBLOCK=128 num_warps=2
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},39.241,XBLOCK=128 num_warps=2
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},25.8,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},20.361,XBLOCK=512 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 131072},20.081,XBLOCK=4096 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 16384},20.0,XBLOCK=256 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},71.122,XBLOCK=256 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},21.36,XBLOCK=256 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 262144},19.76,XBLOCK=512 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 32768},20.04,XBLOCK=512 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 4096},19.881,XBLOCK=4096 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},30.561,XBLOCK=1024 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 512},20.081,XBLOCK=512 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 65536},20.44,XBLOCK=512 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},238.766,XBLOCK=256 num_warps=4
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},37.241,XBLOCK=128 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",22.481,XBLOCK=256 YBLOCK=2 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",23.761,XBLOCK=32 YBLOCK=128 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",22.2,XBLOCK=16 YBLOCK=64 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",22.24,XBLOCK=64 YBLOCK=8 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",22.72,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",58.642,XBLOCK=512 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",37.521,XBLOCK=256 YBLOCK=2 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",39.201,XBLOCK=64 YBLOCK=256 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",37.201,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",23.12,XBLOCK=128 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",36.321,XBLOCK=32 YBLOCK=16 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",22.481,XBLOCK=64 YBLOCK=8 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",22.801,XBLOCK=256 YBLOCK=8 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",22.441,XBLOCK=8 YBLOCK=32 num_warps=1
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",30.401,XBLOCK=256 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",60.722,XBLOCK=128 YBLOCK=128 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",37.921,XBLOCK=32 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",43.442,XBLOCK=128 YBLOCK=128 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",263.767,XBLOCK=512 YBLOCK=32 num_warps=8
triton_poi_fused_add_relu_0,{'x': 1048576},20.361,XBLOCK=256 num_warps=2
triton_poi_fused_add_relu_0,{'x': 131072},20.12,XBLOCK=512 num_warps=8
triton_poi_fused_add_relu_0,{'x': 16384},19.761,XBLOCK=1024 num_warps=2
triton_poi_fused_add_relu_0,{'x': 16777216},44.401,XBLOCK=256 num_warps=2
triton_poi_fused_add_relu_0,{'x': 2097152},20.361,XBLOCK=256 num_warps=4
triton_poi_fused_add_relu_0,{'x': 262144},20.081,XBLOCK=256 num_warps=4
triton_poi_fused_add_relu_0,{'x': 32768},19.801,XBLOCK=512 num_warps=8
triton_poi_fused_add_relu_0,{'x': 4096},19.881,XBLOCK=256 num_warps=2
