kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},11.641,7.44,1.5647,XBLOCK=1024 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},9.84,6.8,1.4471,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},9.08,7.16,1.2682,XBLOCK=512 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},11.761,9.520000000000001,1.2354,XBLOCK=4096 num_warps=4,XBLOCK=256 num_warps=2,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",22.801,18.921,1.2051,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",8.321,7.32,1.1367,XBLOCK=16 YBLOCK=256 num_warps=4,XBLOCK=32 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",7.68,6.760999999999999,1.1359,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=32 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},12.12,10.721,1.1305,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_gelu_mul_0,{'x': 131072},7.44,6.6,1.1273,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",15.121,13.440000000000001,1.1251,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 8, 'r0_': 8192}",7.4,6.6,1.1212,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",9.08,8.120000000000001,1.1182,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",219.806,197.406,1.1135,XBLOCK=32 YBLOCK=512 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},8.2,7.44,1.1022,XBLOCK=512 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},9.96,9.08,1.0969,XBLOCK=256 num_warps=1,XBLOCK=512 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",8.04,7.36,1.0924,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},12.961,11.96,1.0837,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",8.92,8.24,1.0825,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",8.001,7.4,1.0812,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",9.121,8.44,1.0807,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=128 num_warps=8,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",7.12,6.6,1.0788,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",8.08,7.52,1.0745,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=32 YBLOCK=32 num_warps=2,yes
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",9.36,8.8,1.0636,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_poi_fused_gelu_0,{'x': 131072},6.76,6.36,1.0629,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_gelu_mul_0,{'x': 32768},6.881,6.481,1.0617,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",7.68,7.24,1.0608,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=64 YBLOCK=32 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 131072},6.72,6.4,1.05,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},22.08,21.121000000000002,1.0454,XBLOCK=512 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_tanh_0,{'x': 4096},6.48,6.241,1.0383,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=128 num_warps=2,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",6.52,6.28,1.0382,XBLOCK=1 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_poi_fused_leaky_relu_0,{'x': 512},6.52,6.28,1.0382,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},10.2,9.84,1.0366,XBLOCK=1024 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",10.48,10.120000000000001,1.0356,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.48,6.281,1.0317,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.6,6.401,1.0311,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_relu_sigmoid_0,{'x': 1048576},6.72,6.52,1.0307,XBLOCK=1024 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",13.56,13.16,1.0304,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=64 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_gelu_mul_0,{'x': 16384},6.8,6.601,1.0301,XBLOCK=128 num_warps=2,XBLOCK=256 num_warps=4,yes
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",6.601,6.44,1.025,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=2,yes
triton_poi_fused_mul_0,{'x': 32768},6.64,6.4799999999999995,1.0247,XBLOCK=4096 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",8.44,8.24,1.0243,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_mul_relu_0,{'x': 1048576},6.76,6.601,1.0241,XBLOCK=1024 num_warps=4,XBLOCK=256 num_warps=4,yes
