kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",20.001,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",18.68,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",20.36,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",20.001,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",20.601000000000003,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",23.599999999999998,XBLOCK=4 R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",21.28,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",20.72,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",21.0,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",20.32,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",20.081000000000003,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",21.320999999999998,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",20.04,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",19.88,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",20.72,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",20.96,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",18.961,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",20.001,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",20.961000000000002,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",21.36,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.96,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},26.681,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},23.321,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},23.76,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},25.76,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},21.801000000000002,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},21.041,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},18.8,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},34.120999999999995,XBLOCK=1024 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},21.801000000000002,XBLOCK=1024 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},21.041,XBLOCK=512 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},19.84,XBLOCK=256 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},38.201,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_0,{'x': 1048576},19.401000000000003,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 131072},18.841,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 16384},19.279999999999998,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_0,{'x': 16777216},43.881,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 2097152},19.36,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 262144},19.041,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 32768},19.16,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 4096},19.279999999999998,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_0,{'x': 4194304},24.641,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 512},18.681,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_0,{'x': 65536},19.16,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 67108864},160.00400000000002,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 8388608},29.561,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},26.441,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},24.921,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},25.201,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},32.800999999999995,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},27.761,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},32.64,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},27.241,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},60.202,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},24.761,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},59.721000000000004,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},32.480000000000004,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},28.441000000000003,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},28.320999999999998,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},27.84,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},41.120999999999995,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},25.159999999999997,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},21.281000000000002,XBLOCK=1024 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 131072},21.000999999999998,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 16384},20.96,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},75.282,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},23.720000000000002,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 262144},21.320999999999998,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 32768},19.959999999999997,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 4096},21.04,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},31.841,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 512},24.881,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 65536},21.121000000000002,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},241.886,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},40.161,XBLOCK=1024 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",22.4,XBLOCK=64 YBLOCK=4 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",27.921000000000003,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",23.761,XBLOCK=64 YBLOCK=16 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",23.720000000000002,XBLOCK=256 YBLOCK=16 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",23.720000000000002,XBLOCK=64 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",59.761,XBLOCK=64 YBLOCK=64 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",23.88,XBLOCK=64 YBLOCK=4 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",38.881,XBLOCK=64 YBLOCK=64 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",24.361,XBLOCK=64 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",26.200000000000003,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",22.241,XBLOCK=64 YBLOCK=4 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",22.241,XBLOCK=64 YBLOCK=8 num_warps=4,0
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",24.041,XBLOCK=64 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",23.721,XBLOCK=64 YBLOCK=4 num_warps=4,0
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",30.001,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",65.00200000000001,XBLOCK=64 YBLOCK=64 num_warps=4,0
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",22.841,XBLOCK=64 YBLOCK=8 num_warps=4,0
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",43.161,XBLOCK=64 YBLOCK=64 num_warps=4,0
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",220.965,XBLOCK=128 YBLOCK=128 num_warps=8,0
triton_poi_fused_add_relu_0,{'x': 1048576},20.001,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 131072},20.72,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 16384},19.08,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 16777216},43.681,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 2097152},20.641,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 262144},19.48,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 32768},21.481,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 4096},19.16,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_relu_0,{'x': 4194304},26.401,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 512},19.439999999999998,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_relu_0,{'x': 65536},19.241,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 67108864},160.804,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_relu_0,{'x': 8388608},31.321,XBLOCK=512 num_warps=4,0
triton_poi_fused_gelu_0,{'x': 1048576},19.32,XBLOCK=1024 num_warps=8,0
triton_poi_fused_gelu_0,{'x': 131072},20.281,XBLOCK=256 num_warps=4,0
triton_poi_fused_gelu_0,{'x': 16384},19.361,XBLOCK=256 num_warps=4,0
triton_poi_fused_gelu_0,{'x': 16777216},35.881,XBLOCK=1024 num_warps=2,0
triton_poi_fused_gelu_0,{'x': 2097152},19.32,XBLOCK=1024 num_warps=8,0
triton_poi_fused_gelu_0,{'x': 262144},19.161,XBLOCK=512 num_warps=4,0
triton_poi_fused_gelu_0,{'x': 32768},18.761,XBLOCK=256 num_warps=4,0
triton_poi_fused_gelu_0,{'x': 4096},18.841,XBLOCK=128 num_warps=2,0
