kernel_name,size_hints,chosen_us,config,n_spills
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",6.6,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 128}",7.641,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",6.6,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",6.4799999999999995,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",6.4,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 1024, 'r0_': 1024}",8.48,XBLOCK=4 R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_exp_mul_sub_sum_2,"{'x': 512, 'r0_': 512}",7.4,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 128}",6.201,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",6.6,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_exp_sub_sum_3,"{'x': 1, 'r0_': 128}",6.4799999999999995,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_1,"{'x': 1, 'r0_': 128}",6.44,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 1024}",6.56,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",6.4,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_2,"{'x': 1, 'r0_': 128}",6.56,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",6.720000000000001,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",6.4799999999999995,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 128}",6.52,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_std_4,"{'x': 1, 'r0_': 512}",9.2,R0_BLOCK=dyn num_warps=4,0
triton_per_fused_var_5,"{'x': 1, 'r0_': 128}",6.4,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",6.4799999999999995,R0_BLOCK=dyn num_warps=1,0
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",6.84,R0_BLOCK=dyn num_warps=4,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 1048576},14.201,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},13.84,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 32768},9.48,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},11.0,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},10.92,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},6.6,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 32768},6.881,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},15.72,XBLOCK=2048 num_warps=4,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},11.241,XBLOCK=2048 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 262144},6.6,XBLOCK=512 num_warps=8,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 32768},7.680000000000001,XBLOCK=128 num_warps=2,0
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 4194304},26.001,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_0,{'x': 1048576},6.720000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 131072},6.4799999999999995,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 16384},6.36,XBLOCK=256 num_warps=4,0
triton_poi_fused_add_0,{'x': 16777216},33.041000000000004,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 2097152},7.04,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_0,{'x': 262144},6.760000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 32768},6.4799999999999995,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 4096},6.52,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_0,{'x': 4194304},12.92,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 512},6.24,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_0,{'x': 65536},6.44,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 67108864},143.88400000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_0,{'x': 8388608},17.441000000000003,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},12.401,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},12.8,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},14.52,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},13.76,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},9.84,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},8.84,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},10.641,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},42.321,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},13.721,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},41.521,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},14.001,XBLOCK=2048 num_warps=4,0
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},12.120000000000001,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},11.0,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},13.561,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},23.881,XBLOCK=2048 num_warps=8,0
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},13.88,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},6.8,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 131072},6.6,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 16384},6.681,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},57.802,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},8.040000000000001,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 262144},6.720000000000001,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 32768},6.52,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 4096},6.401,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},16.041,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_gelu_mul_0,{'x': 512},6.601,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 65536},6.961,XBLOCK=128 num_warps=2,0
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},236.647,XBLOCK=512 num_warps=8,0
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},24.561,XBLOCK=512 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",11.880999999999998,XBLOCK=16 YBLOCK=8 num_warps=2,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",8.28,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",7.680000000000001,XBLOCK=32 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",8.16,XBLOCK=256 YBLOCK=16 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",11.960999999999999,XBLOCK=64 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",42.521,XBLOCK=64 YBLOCK=64 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",7.52,XBLOCK=16 YBLOCK=8 num_warps=2,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",22.64,XBLOCK=64 YBLOCK=64 num_warps=4,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",9.6,XBLOCK=64 YBLOCK=32 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",9.48,XBLOCK=64 YBLOCK=64 num_warps=8,0
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",8.44,XBLOCK=16 YBLOCK=8 num_warps=2,0
