kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",55.321,18.681,2.9614,XBLOCK=1 num_warps=2,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",52.961,20.56,2.5759,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",52.282,26.281,1.9893,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",34.521,21.641000000000002,1.5952,XBLOCK=8 R0_BLOCK=512 num_warps=4,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",40.201,30.361,1.3241,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.52,21.000999999999998,1.2628,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},26.24,21.56,1.2171,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},25.4,21.24,1.1959,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.561,18.880000000000003,1.195,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",23.961,20.441000000000003,1.1722,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",22.641,19.400000000000002,1.1671,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",27.88,24.04,1.1597,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",37.121,32.919999999999995,1.1276,XBLOCK=1 R0_BLOCK=2048 num_warps=8,XBLOCK=2 R0_BLOCK=4096 num_warps=4,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",98.363,87.242,1.1275,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",33.761,30.521,1.1062,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",243.407,220.805,1.1024,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.601,18.8,1.0958,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.4,18.721,1.0897,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",22.481,20.961000000000002,1.0725,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",21.361,19.959999999999997,1.0702,XBLOCK=64 YBLOCK=64 num_warps=4,XBLOCK=128 YBLOCK=32 num_warps=8,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",25.041,23.521,1.0646,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=4096 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},24.28,22.880000000000003,1.0612,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},23.601,22.24,1.0612,XBLOCK=1024 num_warps=4,XBLOCK=4096 num_warps=4,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},26.0,24.521,1.0603,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=4,no
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",20.521,19.401000000000003,1.0577,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 4194304},29.601,28.0,1.0572,XBLOCK=1024 num_warps=4,XBLOCK=2048 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",20.641,19.68,1.0488,XBLOCK=128 YBLOCK=16 num_warps=4,XBLOCK=128 YBLOCK=2 num_warps=2,yes
triton_red_fused_add_div_max_mul_0,"{'x': 4, 'r0_': 8192}",19.36,18.481,1.0476,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 waves_per_eu=2 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",22.36,21.361,1.0468,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",19.36,18.52,1.0454,XBLOCK=1 num_warps=1,R0_BLOCK=dyn waves_per_eu=2 num_warps=1,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",59.882,57.281,1.0454,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=256 YBLOCK=16 num_warps=4,no
triton_poi_fused_abs_add_cos_exp_gelu_mul_neg_relu_sigmoid_sin_sqrt_tanh_0,{'x': 1048576},22.521,21.56,1.0446,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 65536},22.96,22.12,1.038,XBLOCK=512 num_warps=2,XBLOCK=256 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",19.88,19.161,1.0375,XBLOCK=256 YBLOCK=16 num_warps=4,XBLOCK=64 YBLOCK=4 num_warps=4,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",19.241,18.561,1.0366,XBLOCK=1 num_warps=4,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},23.201,22.561,1.0284,XBLOCK=512 num_warps=4,XBLOCK=4096 num_warps=4,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",23.241,22.601,1.0283,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},28.761,28.080000000000002,1.0243,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=2048 num_warps=4,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},23.001,22.481,1.0231,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=4096 num_warps=4,yes
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",56.322,55.162000000000006,1.021,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=32 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},55.922,54.881,1.019,XBLOCK=1024 num_warps=4,XBLOCK=2048 num_warps=8,yes
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",19.321,18.961,1.019,XBLOCK=64 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=4 num_warps=2,yes
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},36.641,36.001,1.0178,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=2,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.84,18.52,1.0173,XBLOCK=1 num_warps=4,R0_BLOCK=dyn waves_per_eu=2 num_warps=4,yes
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.801,18.481,1.0173,XBLOCK=1 num_warps=4,R0_BLOCK=dyn waves_per_eu=2 num_warps=2,yes
triton_poi_fused_add_relu_0,{'x': 131072},18.92,18.601,1.0171,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_poi_fused_gelu_0,{'x': 67108864},103.483,101.923,1.0153,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=2,yes
