kernel_name,size_hints,a_us,b_us,speedup_BoverA,a_config,b_config,config_changed
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 1, 'r0_': 128}",55.321,18.8,2.9426,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=1,yes
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",52.961,20.801,2.5461,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",52.282,29.081,1.7978,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",34.521,20.921,1.6501,XBLOCK=8 R0_BLOCK=512 num_warps=4,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",40.201,30.521,1.3172,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",22.641,19.041,1.1891,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 262144},22.561,19.64,1.1487,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",37.121,33.641,1.1034,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",243.407,221.366,1.0996,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=128 YBLOCK=128 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",27.88,25.4,1.0976,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 512}",20.4,18.599999999999998,1.0968,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",26.52,24.201,1.0958,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",22.481,20.72,1.085,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",20.601,19.161,1.0752,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_5,{'x': 1048576},26.24,24.480999999999998,1.0719,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",23.961,22.759999999999998,1.0528,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",20.521,19.68,1.0427,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",98.363,94.523,1.0406,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 128}",19.36,18.681,1.0363,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",19.4,18.759999999999998,1.0341,XBLOCK=128 YBLOCK=32 num_warps=4,XBLOCK=64 YBLOCK=2 num_warps=2,yes
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",22.36,21.72,1.0295,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},26.0,25.401,1.0236,XBLOCK=1024 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_per_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_2,"{'x': 1, 'r0_': 512}",19.241,18.801,1.0234,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},25.4,24.840999999999998,1.0225,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=4,yes
triton_poi_fused_relu_sigmoid_0,{'x': 2097152},19.28,18.881,1.0211,XBLOCK=512 num_warps=4,XBLOCK=1024 num_warps=8,yes
triton_per_fused_var_6,"{'x': 1, 'r0_': 128}",18.641,18.28,1.0197,XBLOCK=1 num_warps=1,R0_BLOCK=dyn num_warps=1,yes
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",25.041,24.561,1.0195,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_red_fused_add_div_max_mul_0,"{'x': 4, 'r0_': 8192}",19.36,19.0,1.0189,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 131072},19.2,18.881,1.0169,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 512}",19.041,18.759999999999998,1.015,XBLOCK=1 num_warps=2,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_add_relu_0,{'x': 2097152},19.6,19.321,1.0144,XBLOCK=512 num_warps=4,XBLOCK=512 num_warps=4,no
triton_poi_fused_add_0,{'x': 131072},19.08,18.84,1.0127,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=8,yes
triton_per_fused_add_div_max_mul_1,"{'x': 1, 'r0_': 512}",18.76,18.56,1.0108,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_per_fused_mean_2,"{'x': 1, 'r0_': 512}",18.801,18.601,1.0108,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_leaky_relu_0,{'x': 16384},19.08,18.880000000000003,1.0106,XBLOCK=8192 waves_per_eu=2 num_warps=4,XBLOCK=256 num_warps=4,yes
triton_poi_fused_mul_0,{'x': 1048576},19.201,19.001,1.0105,XBLOCK=4096 num_warps=4,XBLOCK=512 num_warps=4,yes
triton_per_fused_std_3,"{'x': 1, 'r0_': 1024}",18.721,18.561,1.0086,XBLOCK=1 num_warps=8,R0_BLOCK=dyn num_warps=4,yes
triton_red_fused_add_div_max_mul_0,"{'x': 32, 'r0_': 8192}",18.92,18.759999999999998,1.0085,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_per_fused_add_div_exp_mean_mul_sub_4,"{'x': 1, 'r0_': 512}",18.84,18.72,1.0064,XBLOCK=1 num_warps=4,R0_BLOCK=dyn num_warps=4,yes
triton_poi_fused_add_gelu_mul_0,{'x': 65536},18.921,18.8,1.0064,XBLOCK=256 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_poi_fused_gelu_0,{'x': 4096},18.961,18.84,1.0064,XBLOCK=4096 waves_per_eu=2 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_poi_fused_tanh_0,{'x': 65536},18.841,18.721,1.0064,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_mul_0,{'x': 512},19.04,18.919999999999998,1.0063,XBLOCK=512 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_gelu_mul_0,{'x': 32768},19.12,19.040000000000003,1.0042,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_tanh_0,{'x': 32768},18.88,18.801,1.0042,XBLOCK=128 num_warps=2,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},25.2,25.121000000000002,1.0031,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=1024 num_warps=4,yes
triton_poi_fused_leaky_relu_0,{'x': 2097152},19.401,19.361,1.0021,XBLOCK=1024 num_warps=4,XBLOCK=512 num_warps=4,yes
triton_poi_fused_mul_0,{'x': 4096},18.84,18.8,1.0021,XBLOCK=256 num_warps=1,XBLOCK=128 num_warps=2,yes
triton_poi_fused_mul_relu_0,{'x': 32768},18.88,18.84,1.0021,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_relu_sigmoid_0,{'x': 512},18.961,18.921,1.0021,XBLOCK=128 num_warps=2,XBLOCK=128 num_warps=2,no
triton_red_fused_var_5,"{'x': 4, 'r0_': 8192}",18.96,18.919999999999998,1.0021,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=8,yes
triton_poi_fused_abs_add_cos_div_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_sub_tanh_3,{'x': 262144},23.001,22.961,1.0017,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=512 num_warps=8,yes
triton_poi_fused_add_0,{'x': 32768},18.721,18.72,1.0001,XBLOCK=128 num_warps=2,XBLOCK=512 num_warps=8,yes
triton_poi_fused_tanh_0,{'x': 4096},18.961,18.96,1.0001,XBLOCK=128 num_warps=2,XBLOCK=128 num_warps=2,no
triton_poi_fused_tanh_0,{'x': 512},18.841,18.84,1.0001,XBLOCK=512 num_warps=2,XBLOCK=128 num_warps=2,yes
triton_poi_fused_add_gelu_mul_0,{'x': 4096},18.88,18.880000000000003,1.0,XBLOCK=4096 waves_per_eu=2 num_warps=4,XBLOCK=128 num_warps=2,yes
triton_poi_fused_gelu_0,{'x': 16384},18.881,18.881,1.0,XBLOCK=2048 waves_per_eu=1 num_warps=8,XBLOCK=256 num_warps=4,yes
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",23.241,23.281,0.9983,XBLOCK=1 R0_BLOCK=2048 num_warps=8,R0_BLOCK=8192 num_warps=4,yes
